stationcode,name,address,latitude,longitude,brand
972,United Petroleum Umina,"307-313 Ocean Beach Road, UMINA BEACH NSW 2257",-33.511231,151.318092,United
2051,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",-33.56288,150.83842,United
2117,Toowoon Bay Service Station,"142 Bay Rd, TOOWOON BAY NSW 2261",-33.360126,151.497039,Ampol
2118,Metro Petroleum Oakflats,"80-82 Central Ave, OAK FLATS NSW 2529",-34.562617,150.819412,Metro Fuel
2122,Ampol Foodary Brunswick Heads R/H,"5 Tweed St, BRUNSWICK HEADS NSW 2483",-28.538168,153.548694,Ampol Foodary
2125,Ampol Foodary Lambton,"422 Newcastle Road, NORTH LAMBTON NSW 2299",-32.9095591,151.7109683,Ampol Foodary
2128,Ampol Nyngan,"39 Pangee St, NYNGAN NSW 2825",-31.560944,147.191497,Ampol
2129,EG Ampol West Ryde,"924 Victoria Rd, WEST RYDE NSW 2114",-33.810887,151.093485,EG Ampol
2135,TASCO Leeton Vance Rd,"44-46 Vance Rd, LEETON NSW 2705",-34.54381,146.387014,Ampol
2136,Transwest Fuels,"286 Manilla St, MANILLA NSW 2346",-30.7397134,150.7162884,Transwest Fuels
2137,Transwest Fuels,"2 Chelmsford St, KOOTINGAL NSW 2352",-31.0560489,151.0475884,Transwest Fuels
2141,Powerfuel,"101 Blaxcell St, GRANVILLE NSW 2142",-33.842551,151.010602,Powerfuel
2145,BP Eastern Creek T/S,"1 Wallgrove Rd, Eastern Creek NSW 2766",-33.81127,150.84995,BP
2153,BP Matraville,"585 Bunnerong Rd, MATRAVILLE NSW 2036",-33.963312,151.231804,BP
2155,7-Eleven Thornton,"1 Weakleys Dr, THORNTON NSW 2322",-32.7929856,151.6374608,7-Eleven
2159,Mountain Motors Walcha,"18n Derby St, WALCHA NSW 2354",-30.984604,151.593797,BP
2184,South Petrol,"48 Illawarra St, PORT KEMBLA NSW 2505",-34.48657,150.901734,Mobil
2193,CALTEX MUSWELLBROOK,"42-50 Sydney St, MUSWELLBROOK NSW 2333",-32.268367,150.886748,Caltex
2198,BP Berowra,"111 Berowra Waters Rd, BEROWRA HEIGHTS NSW 2082",-33.615454,151.141677,BP
2204,Ampol Foodary Concord,"87-89 Parramatta Rd, CONCORD NSW 2137",-33.867895,151.099444,Ampol Foodary
2219,Bendy Kates,"2a Francis Hollis Dr, TATHRA NSW 2550",-36.724103,149.977408,Independent
2221,BP Guildford,"257 Guildford Rd, GUILDFORD NSW 2161",-33.85437,150.988836,BP
2222,Shell Wyong,"140 Pacific Hwy, WYONG NSW 2259",-33.2821101,151.4256232,Shell
2223,Riverside Co,"203 Charlotte Bay St, CHARLOTTE BAY NSW 2428",-32.343233,152.51482,Metro Fuel
2224,Greenwell Point Service Centre,"85 Greenwell Point Rd, GREENWELL POINT NSW 2540",-34.907742,150.731929,Enhance
2225,Ampol Bombala Depot,"1 High Street, BOMBALA NSW 2632",-36.903943,149.2408217,Ampol
2226,Ampol Goulburn Depot,"13 Sloane St, Goulburn NSW 2580",-34.77423,149.70893,Ampol
2227,Ampol Bega Depot,"36 Lagoon Street, BEGA NSW 2550",-36.6685147,149.828596,Ampol
2228,Pearl Energy Greta,"122 High St, GRETA NSW 2334",-32.675933,151.387434,Pearl Energy
2229,BP Tenterfield,"69 Rouse St, TENTERFIELD NSW 2372",-29.064999,152.016886,BP
2230,Manildra Newsagency & Roadhouse,"2 Kiewa St, MANILDRA NSW 2865",-33.185679,148.687391,Independent
2232,7-Eleven Albion Park Rail,"47-57 Princess Highway, ALBION PARK RAIL NSW 2527",-34.552962,150.788927,7-Eleven
2242,Metro Petroleum Chester Hill,"172 Hector St, CHESTER HILL NSW 2162",-33.8889,151.005411,Metro Fuel
2241,Ampol Foodary Chinderah,"Tweed Valley Way, CHINDERAH NSW 2487",-28.256781,153.527876,Ampol Foodary
2240,BP Haberfield,"95-97 Ramsay St, HABERFIELD NSW 2045",-33.881623,151.140229,BP
2237,Rural Supplies Coolamon,"82 Cowabbie St, COOLAMON NSW 2701",-34.817305,147.200239,Rural Fuel
2245,Willawarrin General Store and Post Office,"44 Main St, WILLAWARRIN NSW 2440",-30.929073,152.627128,Independent
2247,EG Ampol Goulburn South,"Corner Hume Street And Ducks Lane, GOULBURN NSW 2580",-34.772187499,149.68992537,EG Ampol
2252,BP Silverwater,"Cnr Silverwater Road & Derby Street, SILVERWATER NSW 2128",-33.837648,151.046763,BP
2256,BK Cafe and Fuel,"70 Court St, MANILLA NSW 2346",-30.748218,150.724537,Caltex
2257,Lowes Petroleum Service,"4 Martin St, WILCANNIA NSW 2836",-31.562264,143.376225,Lowes
2259,BP Rose Bay Central,"777 New South Head Rd, ROSE BAY NSW 2029",-33.870581,151.268579,BP
2260,Ampol Cooma Truck Stop Polo Flat,"2 Geebung St, POLO FLAT NSW 2630",-36.224727,149.147857,Ampol
2262,Ampol Foodary Armidale,"142 Marsh St, ARMIDALE NSW 2350",-30.517087,151.667591,Ampol Foodary
2263,Ampol Foodary Wyoming,"465 Pacific Hwy, WYOMING NSW 2250",-33.409462,151.349979,Ampol Foodary
2265,Oasis Tuncurry,"186 The Lakes Way, TUNCURRY NSW 2428",-32.165452,152.493274,Independent
2268,Summers Oxley Vale Takeaway & Superette,"171 Manilla Rd, OXLEY VALE NSW 2340",-31.057689,150.895119,Transwest Fuels
2274,BP Wardell,"32 Fitzroy St, WARDELL NSW 2477",-28.95026,153.465738,BP
2277,Lawrence General & Liquor Store,"1 Richmond St, LAWRENCE NSW 2460",-29.499669,153.100149,BP
2280,Emmdale Roadhouse,"15891 Barrier Highway, COBAR NSW 2835",-31.653308,144.268416,Independent
2282,Townsend General Store,"1 Scullin St, TOWNSEND NSW 2463",-29.463879,153.217733,Independent
2283,EG Ampol Bateau Bay,"9 Bay Village Rd, BATEAU BAY NSW 2261",-33.373145,151.473789,EG Ampol
2286,7-Eleven Gateshead,"13-15 Pacific Highway, GATESHEAD NSW 2290",-32.987353,151.69179,7-Eleven
2292,Ampol Mittagong,"115 Main St, MITTAGONG NSW 2575",-34.450278,150.445145,Ampol
2299,Casino Roadhouse,"86 Johnston St, CASINO NSW 2470",-28.859588,153.05626,Liberty
2300,Reel (Taralga) Pty Ltd,"58 Bunnaby St, TARALGA NSW 2580",-34.405792,149.819043,Caltex
2302,Ampol Banksmeadow Diesel Stop,"1-3 Penrhyn Rd, BANKSMEADOW NSW 2019",-33.963415,151.215444,Ampol
2303,Ampol Dubbo North Diesel Stop,"Lot 51 Bourke St (newell Hwy) Cnr River St, DUBBO NORTH NSW 2830",-32.233601,148.611759,Ampol
2304,Access Fuels Ebor,"1 Ebor St, EBOR NSW 2453",-30.397839,152.352838,Independent
2305,Ampol Foodary Strathfield South,"600 Liverpool Rd, STRATHFIELD SOUTH NSW 2136",-33.888188,151.074621,Ampol Foodary
2306,BP Narellan,"271 Camden Valley Way, NARELLAN NSW 2567",-34.041804,150.730913,BP
2309,Snowy Valley Service Centre,"5332 Kosciuszko Rd, EAST JINDABYNE NSW 2627",-36.394047,148.65213,Metro Fuel
2311,Ampol Port Macquarie,"12-14 Bolwarra Rd, PORT MACQUARIE NSW 2444",-31.450165,152.885319,Ampol
2312,Ampol Foodary Cambridge Park,"Lot 6 Star Court, CAMBRIDGE PARK NSW 2747",-33.740603,150.71723,Ampol Foodary
2315,Coombes Transport,"28 PERRY ST, MENINDEE NSW 2879",-32.38857726,142.4145289,Ampol
2319,Metro Fuel Ulladulla,"74 Princess Highway, ULLADULLA NSW 2539",-35.350742,150.475984,Metro Fuel
2322,Ampol Foodary Werrington,"Dunheved Road, WERRINGTON NSW 2747",-33.745821,150.741051,Ampol Foodary
2324,Shell Oberon,"1 Horace St, OBERON NSW 2787",-33.698365,149.859187,Shell
2326,Sussex Inlet Service Station,"1 Jacobs Dr, SUSSEX INLET NSW 2540",-35.158315,150.584045,Independent
2331,BP Penshurst,"494 Forest Rd, PENSHURST NSW 2222",-33.96333,151.090139,BP
2336,Ampol Foodary Dural,"917-923 Old Northern Rd, DURAL NSW 2158",-33.68313,151.028749,Ampol Foodary
2337,Ampol Foodary Cherrybrook,"67 Shepherds Dr, CHERRYBROOK NSW 2126",-33.720696,151.045165,Ampol Foodary
2338,Ampol Foodary Ermington,"560-562 Victoria Road, ERMINGTON NSW 2115",-33.81396,151.054799,Ampol Foodary
2341,Pearl Energy Clarendon,"244 Hawkesbury Valley Way, CLARENDON NSW 2756",-33.60837,150.789218,Pearl Energy
2342,Ampol Foodary Revesby,"181 The River Rd, REVESBY NSW 2212",-33.955843,151.017295,Ampol Foodary
2346,Fuel Plus Harrington,"85 Beach St, HARRINGTON NSW 2427",-31.871649,152.682515,Independent
2347,Ampol Foodary Port Macquarie,"29 Lord St, PORT MACQUARIE NSW 2444",-31.433245,152.917056,Ampol Foodary
2349,Ampol Foodary Kensington,"211-213 Anzac Parade, KENSINGTON NSW 2033",-33.91465,151.225163,Ampol Foodary
2350,BOOST FUEL BARGO,"116-118 Railside Ave, BARGO NSW 2574",-34.292913,150.579983,Boost Fuel
2356,Ampol Foodary Lakemba,"516 Punchbowl Rd, LAKEMBA NSW 2195",-33.911622,151.073203,Ampol Foodary
2359,MOBIL YENDA ROADHOUSE,"30-32 Mirrool Ave, YENDA NSW 2681",-34.249503,146.198155,Mobil
2360,United Bulahdelah,"9999 Pacific Hwy, BULAHDELAH NSW 2423",-32.386103,152.228612,United
2362,Ampol Foodary Carlingford,"131 Pennant Hills Rd, CARLINGFORD NSW 2118",-33.787648,151.027913,Ampol Foodary
2363,Metro Tuggerah,"150 Pacific Hwy, TUGGERAH NSW 2259",-33.300491,151.420879,Metro Fuel
2364,Ampol Foodary Kellyville,"3-5 Windsor Rd, KELLYVILLE NSW 2155",-33.714327,150.960633,Ampol Foodary
2366,Invergowrie General Store,"Invergowrie Store 171 Invergowrie Rd, INVERGOWRIE NSW 2350",-30.519704,151.528389,Independent
